number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_learning_rate,params_max_depth,params_min_child_samples,params_min_child_weight,params_min_gain_to_split,params_num_leaves,params_reg_alpha,params_reg_lambda,system_attrs_fixed_params,state
58,0.7437837377685833,2025-07-11 21:19:05.276016,2025-07-11 21:24:32.043691,0 days 00:05:26.767675,0.9973492291651804,5.0,0.7216286340360722,0.03804237662144841,11.0,319.0,0.0826385267962585,0.02150737864988653,34,0.049963061582097464,0.11016687655845811,,COMPLETE
59,0.7435576673285175,2025-07-11 21:24:32.056456,2025-07-11 21:29:27.933053,0 days 00:04:55.876597,0.9658121119877441,3.0,0.7732829581091221,0.03745623373459953,7.0,223.0,0.013335571208223478,0.012384720009345944,33,0.08233409371723417,0.1554161977209129,,COMPLETE
60,0.7438279170981339,2025-07-11 21:29:27.934215,2025-07-11 21:33:47.092812,0 days 00:04:19.158597,0.9457873338183302,6.0,0.7332076344881389,0.03785159102416219,11.0,138.0,0.0011041548591813903,0.008183166096656229,34,0.015862038981029662,3.93655206824244,,COMPLETE
61,0.7438143723535253,2025-07-11 21:33:47.104061,2025-07-11 21:37:00.676969,0 days 00:03:13.572908,0.876586296338364,5.0,0.7014517526196318,0.03716016492653912,9.0,210.0,0.034472026219761275,0.00044484922636639355,38,0.004390781495539741,0.22433042889648497,,COMPLETE
62,0.743985171019038,2025-07-11 21:37:00.678132,2025-07-11 21:42:06.007573,0 days 00:05:05.329441,0.8680549154275589,4.0,0.7124070436514973,0.030777753217029614,7.0,74.0,0.0359829729320068,0.00017076985021343785,37,0.18003822242962164,0.47495007759457136,,COMPLETE
63,0.7433825039870586,2025-07-11 21:42:06.019061,2025-07-11 21:45:58.478006,0 days 00:03:52.458945,0.8269610256563081,5.0,0.780379240430595,0.03313036580286914,7.0,91.0,0.009563466705224944,0.00035821941329860406,49,0.46211197154232636,0.8282297310110204,,COMPLETE
64,0.7438157095986634,2025-07-11 21:45:58.479209,2025-07-11 21:51:02.709189,0 days 00:05:04.229980,0.8250380244144686,4.0,0.7324946288928218,0.03183658283254325,-1.0,93.0,0.09199365652991397,0.000913308466518319,31,0.23491613245368745,0.19298265590412433,,COMPLETE
65,0.7436817811795399,2025-07-11 21:51:02.721076,2025-07-11 21:54:34.896648,0 days 00:03:32.175572,0.8778234675760259,4.0,0.7226888797350863,0.03874152405197154,7.0,89.0,0.10849241661416455,0.00027974754587704154,34,0.16013221606627745,0.1184794945329536,,COMPLETE
66,0.7437761694172026,2025-07-11 21:54:34.897858,2025-07-11 21:58:59.698498,0 days 00:04:24.800640,0.9159776897442377,6.0,0.7089019977569317,0.03441626844798881,9.0,93.0,0.0042311982127125536,0.00019576721987584462,39,0.18600694093436548,0.19307008595305825,,COMPLETE
67,0.7440854168823693,2025-07-11 21:58:59.710800,2025-07-11 22:04:04.367333,0 days 00:05:04.656533,0.8913667876215132,4.0,0.7188557431653618,0.03079904178956024,7.0,131.0,0.026070522727070413,0.0002559214963857187,34,9.317190550639369,0.9374536981566244,,COMPLETE
